"Ganymede"	1
"Gardens"	2
"General"	4
"Generally"	1
"Geological"	1
"Geologists"	1
"George"	1
"Georgics"	1
"Gertrude"	1
"Getting"	2
"Giant"	3
"Giants"	1
"Gibraltar"	2
"Gibson"	1
"Gilbert"	1
"Giraffes"	1
"Girdled"	1
"Given"	6
"Glacial"	1
"Glaciation"	1
"Glaciations"	1
"Glasgow"	1
"Glass"	1
"Glimpses"	1
"Globigerinid"	1
"Go"	1
"God"	1
"Godlike"	2
"Gods"	1
"Goethes"	1
"Going"	2
"Golden"	4
"Gradual"	1
"Gradually"	1
"Graptolites"	1
"Gravitation"	1
"Gravity"	1
"Great"	10
"Greater"	1
"Greatest"	1
"Greatly"	1
"Greece"	2
"Greek"	9
"Greeks"	4
"Greenwich"	7
"Gregory"	1
"Grouse"	2
"Growth"	1
"Gull"	1
"Gutenberg"	27
"Gutenbergtm"	55
"Gutenbergtms"	1
"Gyges"	1
"H"	45
"HABITS"	2
"HADDON"	2
"HAMMERING"	2
"HAND"	4
"HARPYEAGLE"	2
"HAS"	12
"HATCHING"	2
"HAVE"	1
"HEAD"	8
"HEADLEY"	1
"HEAVENS"	2
"HEIDELBERG"	4
"HEIGHT"	2
"HENRY"	2
"HER"	6
"HERCULES"	3
"HERMITCRAB"	2
"HESPERORNIS"	2
"HICKSON"	1
"HIGH"	2
"HIGHLY"	2
"HILL"	2
"HINCKS"	1
"HINDLEG"	2
